camera,person_a,person_b,timestamp,duration_seconds
ROOM,sarisht,satyabrata,2026-08-07 12:32:17,0.00
ROOM,satyabrata,shrayan,2026-08-07 12:32:18,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:32:18,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:32:19,0.00
ROOM,sarisht,Unknown-CAM4-83,2026-08-07 12:32:19,0.74
ROOM,Om,Unknown-CAM3-84,2026-08-07 12:32:20,0.87
ROOM,Om,shinjan,2026-08-07 12:32:22,0.00
ROOM,Om,shinjan,2026-08-07 12:32:22,0.00
ROOM,Om,shinjan,2026-08-07 12:32:22,0.14
ROOM,Om,shinjan,2026-08-07 12:32:23,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:22,0.46
ROOM,Om,shinjan,2026-08-07 12:32:23,0.17
ROOM,sarisht,shinjan,2026-08-07 12:32:23,0.14
ROOM,Om,sarisht,2026-08-07 12:32:24,0.00
ROOM,Om,sarisht,2026-08-07 12:32:27,0.00
ROOM,Om,sarisht,2026-08-07 12:32:27,0.21
ROOM,Om,sarisht,2026-08-07 12:32:27,0.13
ROOM,Om,sarisht,2026-08-07 12:32:28,0.17
ROOM,Om,sarisht,2026-08-07 12:32:28,0.13
ROOM,sarisht,Unknown-CAM4-89,2026-08-07 12:32:28,0.10
ROOM,Om,sarisht,2026-08-07 12:32:28,0.14
ROOM,Om,Om,2026-08-07 12:32:30,0.00
ROOM,Om,sarisht,2026-08-07 12:32:31,0.00
ROOM,Om,sarisht,2026-08-07 12:32:31,0.00
ROOM,Om,Om,2026-08-07 12:32:29,0.50
ROOM,Om,sarisht,2026-08-07 12:32:32,0.00
ROOM,Om,sarisht,2026-08-07 12:32:32,0.00
ROOM,Om,sarisht,2026-08-07 12:32:32,0.00
ROOM,Om,sarisht,2026-08-07 12:32:32,0.00
ROOM,sarisht,shinjan,2026-08-07 12:32:32,0.21
ROOM,Om,sarisht,2026-08-07 12:32:32,0.14
